"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.31792,588.11,154.57,0,0,4.6618e+05,2.7609,1,0,0,0.001,0.0005
0.31794,588.11,154.57,-0.0063811,0,4.6618e+05,2.7609,1,0.00028,0.00028,0.001,0.0005
0.31795,588.11,154.58,-0.012764,0,4.6618e+05,2.761,1,0.00056,0.00056,0.001,0.0005
0.31796,588.11,154.59,-0.019149,0,4.6618e+05,2.761,1,0.00084,0.00084,0.001,0.0005
0.31797,588.11,154.59,-0.025535,0,4.6618e+05,2.761,1,0.00112,0.00112,0.001,0.0005
0.31799,588.11,154.6,-0.031924,0,4.6618e+05,2.761,1,0.0014,0.0014,0.001,0.0005
0.318,588.1,154.6,-0.038314,0,4.6618e+05,2.761,1,0.00168,0.00168,0.001,0.0005
0.31805,588.1,154.63,-0.042717,0,4.6617e+05,2.7609,1,0.00196,0.00196,0.001,0.0005
0.31812,588.09,154.66,-0.04681,0,4.6615e+05,2.7609,1,0.00224,0.00224,0.001,0.0005
0.31818,588.08,154.69,-0.050903,0,4.6613e+05,2.7608,1,0.00252,0.00252,0.001,0.0005
0.31824,588.08,154.72,-0.054998,0,4.6611e+05,2.7607,1,0.0028,0.0028,0.001,0.0005
0.3183,588.07,154.75,-0.059094,0,4.6609e+05,2.7606,1,0.00308,0.00308,0.001,0.0005
0.31836,588.06,154.78,-0.06319,0,4.6607e+05,2.7605,1,0.00336,0.00336,0.001,0.0005
0.31848,588.05,154.83,-0.065485,0,4.6603e+05,2.7603,1,0.00364,0.00364,0.001,0.0005
0.31861,588.03,154.89,-0.067222,0,4.6597e+05,2.7601,1,0.00392,0.00392,0.001,0.0005
0.31875,588.02,154.96,-0.068959,0,4.6592e+05,2.7599,1,0.0042,0.0042,0.001,0.0005
0.31888,588,155.02,-0.070697,0,4.6587e+05,2.7596,1,0.00448,0.00448,0.001,0.0005
0.31901,587.98,155.08,-0.072435,0,4.6581e+05,2.7594,1,0.00476,0.00476,0.001,0.0005
0.31915,587.97,155.15,-0.074173,0,4.6576e+05,2.7591,1,0.00504,0.00504,0.001,0.0005
0.31932,587.94,155.23,-0.07656,0,4.6569e+05,2.7588,1,0.00532,0.00532,0.001,0.0005
0.31952,587.92,155.32,-0.079227,0,4.656e+05,2.7584,1,0.0056,0.0056,0.001,0.0005
0.31971,587.89,155.41,-0.081895,0,4.6552e+05,2.7581,1,0.00588,0.00588,0.001,0.0005
0.31991,587.87,155.5,-0.084564,0,4.6544e+05,2.7577,1,0.00616,0.00616,0.001,0.0005
0.3201,587.84,155.59,-0.087235,0,4.6536e+05,2.7573,1,0.00644,0.00644,0.001,0.0005
0.3203,587.82,155.68,-0.089907,0,4.6528e+05,2.757,1,0.00672,0.00672,0.001,0.0005
0.32052,587.79,155.79,-0.09326,0,4.6518e+05,2.7566,1,0.007,0.007,0.001,0.0005
0.32075,587.76,155.9,-0.096939,0,4.6508e+05,2.7561,1,0.00728,0.00728,0.001,0.0005
0.32099,587.73,156.01,-0.10062,0,4.6498e+05,2.7557,1,0.00756,0.00756,0.001,0.0005
0.32123,587.7,156.12,-0.1043,0,4.6488e+05,2.7552,1,0.00784,0.00784,0.001,0.0005
0.32146,587.66,156.23,-0.10799,0,4.6478e+05,2.7548,1,0.00812,0.00812,0.001,0.0005
0.3217,587.63,156.34,-0.11168,0,4.6469e+05,2.7543,1,0.0084,0.0084,0.001,0.0005
0.32196,587.6,156.46,-0.11626,0,4.6458e+05,2.7538,1,0.00868,0.00868,0.001,0.0005
0.32223,587.57,156.59,-0.12123,0,4.6447e+05,2.7533,1,0.00896,0.00896,0.001,0.0005
0.3225,587.53,156.72,-0.1262,0,4.6436e+05,2.7528,1,0.00924,0.00924,0.001,0.0005
0.32277,587.5,156.84,-0.13118,0,4.6424e+05,2.7523,1,0.00952,0.00952,0.001,0.0005
0.32304,587.47,156.97,-0.13616,0,4.6413e+05,2.7518,1,0.0098,0.0098,0.001,0.0005
0.3233,587.43,157.09,-0.14114,0,4.6402e+05,2.7513,1,0.01008,0.01008,0.001,0.0005
0.3236,587.4,157.23,-0.14754,0,4.639e+05,2.7508,1,0.01036,0.01036,0.001,0.0005
0.3239,587.36,157.37,-0.15439,0,4.6378e+05,2.7503,1,0.01064,0.01064,0.001,0.0005
0.32419,587.33,157.51,-0.16125,0,4.6366e+05,2.7497,1,0.01092,0.01092,0.001,0.0005
0.32449,587.29,157.65,-0.16811,0,4.6354e+05,2.7492,1,0.0112,0.0112,0.001,0.0005
0.32479,587.25,157.79,-0.17497,0,4.6342e+05,2.7486,1,0.01148,0.01148,0.001,0.0005
0.32509,587.22,157.93,-0.18184,0,4.633e+05,2.7481,1,0.01176,0.01176,0.001,0.0005
0.32541,587.18,158.08,-0.19059,0,4.6318e+05,2.7475,1,0.01204,0.01204,0.001,0.0005
0.32573,587.14,158.24,-0.19962,0,4.6305e+05,2.7469,1,0.01232,0.01232,0.001,0.0005
0.32606,587.11,158.39,-0.20866,0,4.6293e+05,2.7464,1,0.0126,0.0126,0.001,0.0005
0.32638,587.07,158.54,-0.2177,0,4.628e+05,2.7458,1,0.01288,0.01288,0.001,0.0005
0.3267,587.03,158.69,-0.22675,0,4.6268e+05,2.7453,1,0.01316,0.01316,0.001,0.0005
0.32703,586.99,158.84,-0.23585,0,4.6255e+05,2.7447,1,0.01344,0.01344,0.001,0.0005
0.32737,586.95,159,-0.24648,0,4.6243e+05,2.7441,1,0.01372,0.01372,0.001,0.0005
0.32771,586.92,159.17,-0.25711,0,4.623e+05,2.7435,1,0.014,0.014,0.001,0.0005
0.32806,586.88,159.33,-0.26774,0,4.6218e+05,2.743,1,0.01428,0.01428,0.001,0.0005
0.3284,586.84,159.49,-0.27839,0,4.6205e+05,2.7424,1,0.01456,0.01456,0.001,0.0005
0.32874,586.8,159.65,-0.28904,0,4.6192e+05,2.7418,1,0.01484,0.01484,0.001,0.0005
0.32909,586.77,159.81,-0.29979,0,4.618e+05,2.7413,1,0.01512,0.01512,0.001,0.0005
0.32944,586.73,159.98,-0.31083,0,4.6168e+05,2.7407,1,0.0154,0.0154,0.001,0.0005
0.3298,586.69,160.15,-0.32188,0,4.6155e+05,2.7402,1,0.01568,0.01568,0.001,0.0005
0.33016,586.66,160.32,-0.33294,0,4.6143e+05,2.7396,1,0.01596,0.01596,0.001,0.0005
0.33051,586.62,160.49,-0.344,0,4.6131e+05,2.739,1,0.01624,0.01624,0.001,0.0005
