"Ma","T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.32574,587.53,158.29,0,0,4.6457e+05,2.7541,1,0,0,0.001,0.0005
0.32579,587.53,158.31,-0.023032,0,4.6452e+05,2.7539,1,0.00028,0.00028,0.001,0.0005
0.32584,587.52,158.34,-0.046074,0,4.6447e+05,2.7536,1,0.00056,0.00056,0.001,0.0005
0.32589,587.51,158.36,-0.069124,0,4.6442e+05,2.7533,1,0.00084,0.00084,0.001,0.0005
0.32594,587.51,158.38,-0.092184,0,4.6437e+05,2.7531,1,0.00112,0.00112,0.001,0.0005
0.32599,587.5,158.41,-0.11525,0,4.6432e+05,2.7528,1,0.0014,0.0014,0.001,0.0005
0.32604,587.49,158.43,-0.13833,0,4.6427e+05,2.7525,1,0.00168,0.00168,0.001,0.0005
0.32609,587.49,158.46,-0.16162,0,4.6423e+05,2.7523,1,0.00196,0.00196,0.001,0.0005
0.32614,587.48,158.48,-0.18495,0,4.6419e+05,2.7521,1,0.00224,0.00224,0.001,0.0005
0.32619,587.48,158.5,-0.2083,0,4.6416e+05,2.7519,1,0.00252,0.00252,0.001,0.0005
0.32624,587.48,158.53,-0.23165,0,4.6412e+05,2.7517,1,0.0028,0.0028,0.001,0.0005
0.32629,587.47,158.55,-0.25502,0,4.6408e+05,2.7515,1,0.00308,0.00308,0.001,0.0005
0.32634,587.47,158.57,-0.2784,0,4.6405e+05,2.7513,1,0.00336,0.00336,0.001,0.0005
0.32635,587.47,158.58,-0.30851,0,4.6405e+05,2.7513,1,0.00364,0.00364,0.001,0.0005
0.32636,587.48,158.58,-0.34072,0,4.6406e+05,2.7514,1,0.00392,0.00392,0.001,0.0005
0.32636,587.48,158.59,-0.37295,0,4.6407e+05,2.7514,1,0.0042,0.0042,0.001,0.0005
0.32637,587.49,158.59,-0.40519,0,4.6409e+05,2.7515,1,0.00448,0.00448,0.001,0.0005
0.32637,587.49,158.59,-0.43744,0,4.641e+05,2.7515,1,0.00476,0.00476,0.001,0.0005
0.32638,587.5,158.59,-0.4697,0,4.6411e+05,2.7516,1,0.00504,0.00504,0.001,0.0005
0.32637,587.51,158.59,-0.504,0,4.6415e+05,2.7517,1,0.00532,0.00532,0.001,0.0005
0.32636,587.51,158.59,-0.53917,0,4.6419e+05,2.752,1,0.0056,0.0056,0.001,0.0005
0.32635,587.52,158.58,-0.57435,0,4.6424e+05,2.7522,1,0.00588,0.00588,0.001,0.0005
0.32634,587.53,158.58,-0.60955,0,4.6429e+05,2.7524,1,0.00616,0.00616,0.001,0.0005
0.32633,587.54,158.58,-0.64477,0,4.6433e+05,2.7526,1,0.00644,0.00644,0.001,0.0005
0.32632,587.55,158.57,-0.68,0,4.6438e+05,2.7529,1,0.00672,0.00672,0.001,0.0005
0.3263,587.57,158.56,-0.71503,0,4.6445e+05,2.7532,1,0.007,0.007,0.001,0.0005
